run	target	task	rms	r	p	q
734462.7994	CSM	fix	0.685	0.000	1.000	0.81
734462.7994	CSM	sacc	2.186	0.669	0.000	0.97
734462.7994	CSM	spem	1.991	0.846	0.000	0.96
734462.7994	CSM	vergst	3.164	0.051	0.068	0.94
734462.7994	CSM	vergtr	2.694	0.213	0.000	0.93
734483.4198	sol	fix	0.368	0.000	1.000	0.96
734483.4198	sol	sacc	1.915	0.753	0.000	1.00
734483.4198	sol	spem	1.703	0.920	0.000	1.00
734483.4198	sol	vergst	4.319	0.076	0.000	0.98
734483.4198	sol	vergtr	4.320	0.013	0.320	0.97
734483.4253	sol	fix	0.435	0.000	1.000	0.94
734483.4253	sol	sacc	2.063	0.717	0.000	0.99
734483.4253	sol	spem	2.107	0.895	0.000	0.96
734483.4253	sol	vergst	0.496	0.147	0.042	0.99
734483.4253	sol	vergtr	0.485	0.118	0.000	0.99
734483.4317	sol	fix	0.142	0.000	1.000	0.97
734483.4317	sol	sacc	2.100	0.715	0.000	1.00
734483.4317	sol	spem	1.758	0.909	0.000	0.99
734483.4317	sol	vergst	4.237	0.036	0.057	0.99
734483.4317	sol	vergtr	2.892	0.198	0.000	1.00
734483.4387	sol	fix	0.176	0.000	1.000	0.94
734483.4387	sol	sacc	2.050	0.724	0.000	0.99
734483.4387	sol	spem	1.720	0.919	0.000	0.98
734483.4387	sol	vergst	0.244	0.126	0.010	0.97
734483.4387	sol	vergtr	0.305	0.156	0.009	0.99
734483.4455	sol	fix	0.153	0.000	1.000	0.94
734483.4455	sol	sacc	2.003	0.731	0.000	1.00
734483.4455	sol	spem	1.798	0.916	0.000	0.99
734483.4455	sol	vergst	4.424	0.075	0.002	0.98
734483.4455	sol	vergtr	2.779	0.160	0.000	0.98
734483.4789	sol	fix	0.225	0.000	1.000	0.99
734483.4789	sol	sacc	1.907	0.751	0.000	0.99
734483.4789	sol	spem	1.684	0.888	0.000	0.99
734483.4789	sol	vergst	3.574	0.043	0.145	0.98
734483.4789	sol	vergtr	3.582	0.009	0.434	0.97
734483.4849	sol	fix	0.325	0.000	1.000	0.96
734483.4849	sol	sacc	1.960	0.733	0.000	0.99
734483.4849	sol	spem	1.733	0.881	0.000	0.99
734483.4849	sol	vergst	0.400	0.099	0.002	0.97
734483.4849	sol	vergtr	0.412	0.063	0.024	0.97
734483.4939	sol	fix	0.295	0.000	1.000	0.97
734483.4939	sol	sacc	1.909	0.744	0.000	0.98
734483.4939	sol	spem	1.414	0.919	0.000	0.99
734483.4939	sol	vergst	3.446	0.049	0.006	0.96
734483.4939	sol	vergtr	2.690	0.226	0.022	0.98
734483.4996	sol	fix	0.309	0.000	1.000	0.96
734483.4996	sol	sacc	1.932	0.726	0.000	0.97
734483.4996	sol	spem	1.679	0.884	0.000	0.98
734483.4996	sol	vergst	0.358	0.111	0.002	0.96
734483.4996	sol	vergtr	0.382	0.073	0.000	0.97
734483.5066	sol	fix	0.178	0.000	1.000	0.97
734483.5066	sol	sacc	1.895	0.741	0.000	0.98
734483.5066	sol	spem	1.557	0.902	0.000	0.98
734483.5066	sol	vergst	3.596	0.056	0.000	0.97
734483.5066	sol	vergtr	2.643	0.208	0.000	0.97
734483.5287	CSM	fix	0.465	0.000	1.000	0.95
734483.5287	CSM	sacc	2.322	0.661	0.000	1.00
734483.5287	CSM	spem	2.025	0.891	0.000	1.00
734483.5287	CSM	vergst	4.444	0.059	0.000	0.99
734483.5287	CSM	vergtr	4.453	0.021	0.399	0.99
734483.5344	CSM	fix	0.490	0.000	1.000	0.96
734483.5344	CSM	sacc	2.181	0.696	0.000	1.00
734483.5344	CSM	spem	2.094	0.891	0.000	0.99
734483.5344	CSM	vergst	0.497	0.100	0.000	0.99
734483.5344	CSM	vergtr	0.543	0.137	0.000	1.00
734483.5405	CSM	fix	0.320	0.000	1.000	0.96
734483.5405	CSM	sacc	2.138	0.713	0.000	0.99
734483.5405	CSM	spem	2.285	0.888	0.000	0.98
734483.5405	CSM	vergst	4.783	0.070	0.042	0.98
734483.5405	CSM	vergtr	2.905	0.136	0.000	0.98
734483.5479	CSM	fix	0.521	0.000	1.000	0.93
734483.5479	CSM	sacc	2.190	0.706	0.000	0.99
734483.5479	CSM	spem	2.383	0.884	0.000	0.98
734483.5479	CSM	vergst	0.545	0.207	0.000	0.97
734483.5479	CSM	vergtr	0.577	0.084	0.002	0.96
734483.5552	CSM	fix	0.359	0.000	1.000	0.92
734483.5552	CSM	sacc	2.215	0.682	0.000	0.99
734483.5552	CSM	spem	2.254	0.882	0.000	0.98
734483.5552	CSM	vergst	4.630	0.029	0.327	0.99
734483.5552	CSM	vergtr	2.871	0.173	0.000	0.95
734483.5759	CSM	fix	0.410	0.000	1.000	0.96
734483.5759	CSM	sacc	2.256	0.641	0.000	0.96
734483.5759	CSM	spem	2.000	0.845	0.000	0.97
734483.5759	CSM	vergst	3.604	0.042	0.031	0.97
734483.5759	CSM	vergtr	3.610	0.017	0.362	0.96
734483.5828	CSM	fix	0.543	0.000	1.000	0.94
734483.5828	CSM	sacc	2.154	0.681	0.000	0.96
734483.5828	CSM	spem	1.876	0.861	0.000	0.96
734483.5828	CSM	vergst	0.567	0.023	0.192	0.95
734483.5828	CSM	vergtr	0.576	0.060	0.025	0.96
734483.5886	CSM	fix	0.389	0.000	1.000	0.95
734483.5886	CSM	sacc	2.090	0.683	0.000	0.97
734483.5886	CSM	spem	1.790	0.866	0.000	0.97
734483.5886	CSM	vergst	3.287	0.134	0.000	0.93
734483.5886	CSM	vergtr	2.504	0.061	0.212	0.94
734483.6025	CSM	fix	0.536	0.000	1.000	0.89
734483.6025	CSM	sacc	2.118	0.671	0.000	0.94
734483.6025	CSM	spem	1.773	0.881	0.000	0.96
734483.6025	CSM	vergst	0.579	0.115	0.000	0.95
734483.6025	CSM	vergtr	0.584	0.076	0.003	0.96
734483.6086	CSM	fix	0.337	0.000	1.000	0.96
734483.6086	CSM	sacc	2.144	0.669	0.000	0.97
734483.6086	CSM	spem	1.645	0.892	0.000	0.99
734483.6086	CSM	vergst	3.400	0.044	0.155	0.96
734483.6086	CSM	vergtr	2.535	0.175	0.000	0.97
734484.4076	sol	fix	0.396	0.000	1.000	0.93
734484.4076	sol	sacc	2.009	0.751	0.000	0.99
734484.4076	sol	spem	1.835	0.878	0.000	0.97
734484.4076	sol	vergst	3.882	0.047	0.006	0.99
734484.4076	sol	vergtr	3.885	0.022	0.122	0.99
734484.4131	sol	fix	0.231	0.000	1.000	0.99
734484.4131	sol	sacc	1.856	0.762	0.000	1.00
734484.4131	sol	spem	1.696	0.890	0.000	1.00
734484.4131	sol	vergst	0.288	0.177	0.000	1.00
734484.4131	sol	vergtr	0.327	0.138	0.000	0.99
734484.4184	sol	fix	0.259	0.000	1.000	0.99
734484.4184	sol	sacc	1.882	0.753	0.000	0.94
734484.4184	sol	spem	1.591	0.893	0.000	0.92
734484.4184	sol	vergst	3.752	0.050	0.020	0.98
734484.4184	sol	vergtr	2.836	0.236	0.000	0.97
734484.4247	sol	fix	0.184	0.000	1.000	0.99
734484.4247	sol	sacc	1.995	0.737	0.000	0.97
734484.4247	sol	spem	1.668	0.900	0.000	0.99
734484.4247	sol	vergst	0.263	0.225	0.000	0.99
734484.4247	sol	vergtr	0.296	0.142	0.000	0.98
734484.4314	sol	fix	0.259	0.000	1.000	0.99
734484.4314	sol	sacc	1.921	0.746	0.000	0.98
734484.4314	sol	spem	1.629	0.902	0.000	0.99
734484.4314	sol	vergst	3.828	0.032	0.165	0.99
734484.4314	sol	vergtr	2.776	0.164	0.000	0.99
734484.4597	sol	fix	0.236	0.000	1.000	0.95
734484.4597	sol	sacc	1.854	0.755	0.000	0.98
734484.4597	sol	spem	1.923	0.851	0.000	0.97
734484.4597	sol	vergst	3.579	0.051	0.246	0.97
734484.4597	sol	vergtr	3.574	0.032	0.216	0.92
734484.4653	sol	fix	0.254	0.000	1.000	0.93
734484.4653	sol	sacc	1.807	0.764	0.000	0.99
734484.4653	sol	spem	1.594	0.898	0.000	0.98
734484.4653	sol	vergst	0.308	0.112	0.002	0.97
734484.4653	sol	vergtr	0.346	0.083	0.053	0.97
734484.4714	sol	fix	0.275	0.000	1.000	0.97
734484.4714	sol	sacc	1.906	0.759	0.000	0.99
734484.4714	sol	spem	1.717	0.882	0.000	0.98
734484.4714	sol	vergst	3.583	0.050	0.152	0.96
734484.4714	sol	vergtr	2.783	0.203	0.000	0.99
734484.4779	sol	fix	0.363	0.000	1.000	0.96
734484.4779	sol	sacc	1.866	0.753	0.000	0.98
734484.4779	sol	spem	1.764	0.868	0.000	0.96
734484.4779	sol	vergst	0.382	0.111	0.000	0.97
734484.4779	sol	vergtr	0.432	0.058	0.018	0.99
734484.486 	sol	fix	0.354	0.000	1.000	0.97
734484.486 	sol	sacc	1.831	0.765	0.000	0.99
734484.486 	sol	spem	1.773	0.874	0.000	0.97
734484.486 	sol	vergst	3.617	0.047	0.001	0.99
734484.486 	sol	vergtr	2.707	0.184	0.000	0.98
734484.5213	CSM	fix	0.297	0.000	1.000	0.97
734484.5213	CSM	sacc	2.160	0.683	0.000	0.98
734484.5213	CSM	spem	1.992	0.853	0.000	0.97
734484.5213	CSM	vergst	3.762	0.060	0.013	0.97
734484.5213	CSM	vergtr	3.764	0.026	0.121	0.97
734484.5272	CSM	fix	0.523	0.000	1.000	0.95
734484.5272	CSM	sacc	2.158	0.642	0.000	0.88
734484.5272	CSM	spem	2.394	0.797	0.000	0.82
734484.5272	CSM	vergst	0.558	0.072	0.000	0.96
734484.5272	CSM	vergtr	0.576	0.090	0.002	0.96
734484.5339	CSM	fix	0.338	0.000	1.000	0.96
734484.5339	CSM	sacc	2.060	0.689	0.000	0.93
734484.5339	CSM	spem	2.062	0.815	0.000	0.89
734484.5339	CSM	vergst	3.735	0.053	0.116	0.88
734484.5339	CSM	vergtr	2.647	0.192	0.000	0.88
734484.5413	CSM	fix	0.569	0.000	1.000	0.94
734484.5413	CSM	sacc	2.004	0.650	0.000	0.76
734484.5413	CSM	spem	2.000	0.843	0.000	0.95
734484.5413	CSM	vergst	0.605	0.101	0.000	0.96
734484.5413	CSM	vergtr	0.609	0.048	0.032	0.94
734484.547 	CSM	fix	0.491	0.000	1.000	0.96
734484.547 	CSM	sacc	2.117	0.664	0.000	0.98
734484.547 	CSM	spem	2.208	0.823	0.000	0.99
734484.547 	CSM	vergst	3.794	0.033	0.130	0.98
734484.547 	CSM	vergtr	2.376	0.194	0.000	0.96
734484.5753	CSM	fix	0.491	0.000	1.000	0.96
734484.5753	CSM	sacc	2.117	0.664	0.000	0.98
734484.5753	CSM	spem	2.208	0.823	0.000	0.99
734484.5753	CSM	vergst	3.794	0.033	0.130	0.98
734484.5753	CSM	vergtr	2.376	0.194	0.000	0.96
734484.5834	CSM	fix	0.340	0.000	1.000	0.96
734484.5834	CSM	sacc	2.138	0.678	0.000	0.99
734484.5834	CSM	spem	2.326	0.774	0.000	0.97
734484.5834	CSM	vergst	3.278	0.043	0.055	0.96
734484.5834	CSM	vergtr	3.289	0.029	0.198	0.95
734484.5887	CSM	fix	0.534	0.000	1.000	0.91
734484.5887	CSM	sacc	2.122	0.656	0.000	0.93
734484.5887	CSM	spem	2.435	0.761	0.000	0.93
734484.5887	CSM	vergst	0.549	0.124	0.000	0.94
734484.5887	CSM	vergtr	0.564	0.074	0.091	0.94
734484.5945	CSM	fix	0.580	0.000	1.000	0.87
734484.5945	CSM	sacc	2.394	0.538	0.000	0.83
734484.5945	CSM	spem	2.964	0.617	0.000	0.92
734484.5945	CSM	vergst	2.993	0.056	0.333	0.93
734484.5945	CSM	vergtr	2.569	0.183	0.000	0.96
734484.6017	CSM	fix	0.425	0.000	1.000	0.93
734484.6017	CSM	sacc	2.485	0.529	0.000	0.86
734484.6017	CSM	spem	2.800	0.644	0.000	0.88
734484.6017	CSM	vergst	0.434	0.149	0.000	0.90
