run	target	task	rms	r	p	q
734462.7994	CSM	fix	1.419	0.000	1.000	0.81
734462.7994	CSM	sacc	4.448	0.659	0.000	0.97
734462.7994	CSM	spem	4.045	0.836	0.000	0.96
734462.7994	CSM	vergst	6.405	0.051	0.123	0.94
734462.7994	CSM	vergtr	5.465	0.207	0.000	0.93
734483.4198	sol	fix	0.717	0.000	1.000	0.96
734483.4198	sol	sacc	3.932	0.742	0.000	1.00
734483.4198	sol	spem	3.636	0.911	0.000	1.00
734483.4198	sol	vergst	8.776	0.076	0.000	0.98
734483.4198	sol	vergtr	8.778	0.013	0.317	0.97
734483.4253	sol	fix	0.908	0.000	1.000	0.94
734483.4253	sol	sacc	4.234	0.704	0.000	0.99
734483.4253	sol	spem	4.427	0.882	0.000	0.96
734483.4253	sol	vergst	1.026	0.136	0.032	0.99
734483.4253	sol	vergtr	1.005	0.107	0.000	0.99
734483.4317	sol	fix	0.297	0.000	1.000	0.97
734483.4317	sol	sacc	4.317	0.705	0.000	1.00
734483.4317	sol	spem	3.704	0.900	0.000	0.99
734483.4317	sol	vergst	8.611	0.040	0.060	0.99
734483.4317	sol	vergtr	5.872	0.195	0.000	1.00
734483.4387	sol	fix	0.330	0.000	1.000	0.94
734483.4387	sol	sacc	4.212	0.710	0.000	0.99
734483.4387	sol	spem	3.616	0.910	0.000	0.98
734483.4387	sol	vergst	0.474	0.124	0.068	0.97
734483.4387	sol	vergtr	0.596	0.183	0.127	0.99
734483.4455	sol	fix	0.307	0.000	1.000	0.94
734483.4455	sol	sacc	4.101	0.722	0.000	1.00
734483.4455	sol	spem	3.785	0.908	0.000	0.99
734483.4455	sol	vergst	8.980	0.072	0.010	0.98
734483.4455	sol	vergtr	5.630	0.157	0.000	0.98
734483.4789	sol	fix	0.536	0.000	1.000	0.99
734483.4789	sol	sacc	3.913	0.741	0.000	0.99
734483.4789	sol	spem	3.396	0.886	0.000	0.99
734483.4789	sol	vergst	7.215	0.042	0.180	0.98
734483.4789	sol	vergtr	7.232	0.009	0.381	0.97
734483.4849	sol	fix	0.646	0.000	1.000	0.96
734483.4849	sol	sacc	4.004	0.722	0.000	0.99
734483.4849	sol	spem	3.501	0.879	0.000	0.99
734483.4849	sol	vergst	0.792	0.085	0.090	0.97
734483.4849	sol	vergtr	0.821	0.062	0.181	0.97
734483.4939	sol	fix	0.588	0.000	1.000	0.97
734483.4939	sol	sacc	3.916	0.731	0.000	0.98
734483.4939	sol	spem	2.844	0.918	0.000	0.99
734483.4939	sol	vergst	6.952	0.049	0.007	0.96
734483.4939	sol	vergtr	5.450	0.220	0.104	0.98
734483.4996	sol	fix	0.602	0.000	1.000	0.96
734483.4996	sol	sacc	3.915	0.714	0.000	0.97
734483.4996	sol	spem	3.378	0.882	0.000	0.98
734483.4996	sol	vergst	0.704	0.108	0.002	0.96
734483.4996	sol	vergtr	0.752	0.074	0.000	0.97
734483.5066	sol	fix	0.351	0.000	1.000	0.97
734483.5066	sol	sacc	3.853	0.730	0.000	0.98
734483.5066	sol	spem	3.132	0.900	0.000	0.98
734483.5066	sol	vergst	7.266	0.057	0.000	0.97
734483.5066	sol	vergtr	5.343	0.204	0.000	0.97
734483.5287	CSM	fix	0.937	0.000	1.000	0.95
734483.5287	CSM	sacc	4.753	0.649	0.000	1.00
734483.5287	CSM	spem	4.394	0.877	0.000	1.00
734483.5287	CSM	vergst	9.099	0.059	0.000	0.99
734483.5287	CSM	vergtr	9.116	0.021	0.377	0.99
734483.5344	CSM	fix	1.033	0.000	1.000	0.96
734483.5344	CSM	sacc	4.465	0.687	0.000	1.00
734483.5344	CSM	spem	4.513	0.877	0.000	0.99
734483.5344	CSM	vergst	1.047	0.087	0.000	0.99
734483.5344	CSM	vergtr	1.133	0.119	0.000	1.00
734483.5405	CSM	fix	0.602	0.000	1.000	0.96
734483.5405	CSM	sacc	4.374	0.704	0.000	0.99
734483.5405	CSM	spem	4.862	0.876	0.000	0.98
734483.5405	CSM	vergst	9.776	0.068	0.076	0.98
734483.5405	CSM	vergtr	5.883	0.134	0.000	0.98
734483.5479	CSM	fix	0.988	0.000	1.000	0.93
734483.5479	CSM	sacc	4.488	0.695	0.000	0.99
734483.5479	CSM	spem	5.111	0.869	0.000	0.98
734483.5479	CSM	vergst	1.035	0.188	0.000	0.97
734483.5479	CSM	vergtr	1.102	0.065	0.010	0.96
734483.5552	CSM	fix	0.720	0.000	1.000	0.92
734483.5552	CSM	sacc	4.531	0.672	0.000	0.99
734483.5552	CSM	spem	4.821	0.869	0.000	0.98
734483.5552	CSM	vergst	9.489	0.025	0.354	0.99
734483.5552	CSM	vergtr	5.824	0.171	0.000	0.95
734483.5759	CSM	fix	0.737	0.000	1.000	0.96
734483.5759	CSM	sacc	4.609	0.625	0.000	0.96
734483.5759	CSM	spem	4.050	0.842	0.000	0.97
734483.5759	CSM	vergst	7.300	0.044	0.007	0.97
734483.5759	CSM	vergtr	7.309	0.017	0.364	0.96
734483.5828	CSM	fix	1.036	0.000	1.000	0.94
734483.5828	CSM	sacc	4.396	0.670	0.000	0.96
734483.5828	CSM	spem	3.813	0.856	0.000	0.96
734483.5828	CSM	vergst	1.085	0.029	0.038	0.95
734483.5828	CSM	vergtr	1.106	0.058	0.012	0.96
734483.5886	CSM	fix	0.751	0.000	1.000	0.95
734483.5886	CSM	sacc	4.232	0.675	0.000	0.97
734483.5886	CSM	spem	3.605	0.863	0.000	0.97
734483.5886	CSM	vergst	6.636	0.129	0.000	0.93
734483.5886	CSM	vergtr	5.057	0.059	0.243	0.94
734483.6025	CSM	fix	0.993	0.000	1.000	0.89
734483.6025	CSM	sacc	4.337	0.658	0.000	0.94
734483.6025	CSM	spem	3.610	0.874	0.000	0.96
734483.6025	CSM	vergst	1.084	0.116	0.002	0.95
734483.6025	CSM	vergtr	1.088	0.099	0.000	0.96
734483.6086	CSM	fix	0.664	0.000	1.000	0.96
734483.6086	CSM	sacc	4.385	0.656	0.000	0.97
734483.6086	CSM	spem	3.409	0.883	0.000	0.99
734483.6086	CSM	vergst	6.910	0.044	0.080	0.96
734483.6086	CSM	vergtr	5.138	0.171	0.000	0.97
734484.4076	sol	fix	0.831	0.000	1.000	0.93
734484.4076	sol	sacc	4.098	0.742	0.000	0.99
734484.4076	sol	spem	3.718	0.870	0.000	0.97
734484.4076	sol	vergst	7.838	0.043	0.006	0.99
734484.4076	sol	vergtr	7.842	0.027	0.130	0.99
734484.4131	sol	fix	0.472	0.000	1.000	0.99
734484.4131	sol	sacc	3.803	0.753	0.000	1.00
734484.4131	sol	spem	3.441	0.887	0.000	1.00
734484.4131	sol	vergst	0.585	0.162	0.000	1.00
734484.4131	sol	vergtr	0.659	0.134	0.000	0.99
734484.4184	sol	fix	0.540	0.000	1.000	0.99
734484.4184	sol	sacc	3.842	0.742	0.000	0.94
734484.4184	sol	spem	3.219	0.874	0.000	0.92
734484.4184	sol	vergst	7.612	0.045	0.017	0.98
734484.4184	sol	vergtr	5.743	0.236	0.000	0.97
734484.4247	sol	fix	0.377	0.000	1.000	0.99
734484.4247	sol	sacc	4.079	0.725	0.000	0.97
734484.4247	sol	spem	3.423	0.892	0.000	0.99
734484.4247	sol	vergst	0.531	0.218	0.000	0.99
734484.4247	sol	vergtr	0.596	0.128	0.000	0.98
734484.4314	sol	fix	0.523	0.000	1.000	0.99
734484.4314	sol	sacc	3.944	0.736	0.000	0.98
734484.4314	sol	spem	3.318	0.899	0.000	0.99
734484.4314	sol	vergst	7.722	0.031	0.235	0.99
734484.4314	sol	vergtr	5.631	0.160	0.000	0.99
734484.4597	sol	fix	0.391	0.000	1.000	0.95
734484.4597	sol	sacc	3.775	0.749	0.000	0.98
734484.4597	sol	spem	3.828	0.849	0.000	0.97
734484.4597	sol	vergst	7.221	0.052	0.042	0.97
734484.4597	sol	vergtr	7.213	0.033	0.113	0.92
734484.4653	sol	fix	0.435	0.000	1.000	0.93
734484.4653	sol	sacc	3.688	0.756	0.000	0.99
734484.4653	sol	spem	3.192	0.895	0.000	0.98
734484.4653	sol	vergst	0.555	0.124	0.000	0.97
734484.4653	sol	vergtr	0.641	0.103	0.000	0.97
734484.4714	sol	fix	0.458	0.000	1.000	0.97
734484.4714	sol	sacc	3.861	0.754	0.000	0.99
734484.4714	sol	spem	3.439	0.880	0.000	0.98
734484.4714	sol	vergst	7.221	0.050	0.161	0.96
734484.4714	sol	vergtr	5.623	0.204	0.000	0.99
734484.4779	sol	fix	0.554	0.000	1.000	0.96
734484.4779	sol	sacc	3.800	0.741	0.000	0.98
734484.4779	sol	spem	3.541	0.860	0.000	0.96
734484.4779	sol	vergst	0.609	0.140	0.002	0.97
734484.4779	sol	vergtr	0.707	0.037	0.130	0.99
734484.486 	sol	fix	0.583	0.000	1.000	0.97
734484.486 	sol	sacc	3.739	0.756	0.000	0.99
734484.486 	sol	spem	3.542	0.873	0.000	0.97
734484.486 	sol	vergst	7.290	0.047	0.018	0.99
734484.486 	sol	vergtr	5.464	0.183	0.000	0.98
734484.5213	CSM	fix	0.611	0.000	1.000	0.97
734484.5213	CSM	sacc	4.400	0.667	0.000	0.98
734484.5213	CSM	spem	4.112	0.838	0.000	0.97
734484.5213	CSM	vergst	7.628	0.063	0.007	0.97
734484.5213	CSM	vergtr	7.629	0.023	0.250	0.97
734484.5272	CSM	fix	1.042	0.000	1.000	0.95
734484.5272	CSM	sacc	4.388	0.619	0.000	0.88
734484.5272	CSM	spem	4.910	0.766	0.000	0.82
734484.5272	CSM	vergst	1.117	0.079	0.000	0.96
734484.5272	CSM	vergtr	1.144	0.089	0.000	0.96
734484.5339	CSM	fix	0.753	0.000	1.000	0.96
734484.5339	CSM	sacc	4.236	0.669	0.000	0.93
734484.5339	CSM	spem	4.283	0.803	0.000	0.89
734484.5339	CSM	vergst	7.633	0.056	0.036	0.88
734484.5339	CSM	vergtr	5.350	0.203	0.000	0.88
734484.5413	CSM	fix	1.049	0.000	1.000	0.94
734484.5413	CSM	sacc	4.107	0.626	0.000	0.76
734484.5413	CSM	spem	4.119	0.829	0.000	0.95
734484.5413	CSM	vergst	1.122	0.097	0.048	0.96
734484.5413	CSM	vergtr	1.134	0.040	0.007	0.94
734484.547 	CSM	fix	0.870	0.000	1.000	0.96
734484.547 	CSM	sacc	4.304	0.652	0.000	0.98
734484.547 	CSM	spem	4.548	0.816	0.000	0.99
734484.547 	CSM	vergst	7.694	0.032	0.194	0.98
734484.547 	CSM	vergtr	4.812	0.192	0.000	0.96
734484.5753	CSM	fix	0.870	0.000	1.000	0.96
734484.5753	CSM	sacc	4.304	0.652	0.000	0.98
734484.5753	CSM	spem	4.548	0.816	0.000	0.99
734484.5753	CSM	vergst	7.694	0.032	0.194	0.98
734484.5753	CSM	vergtr	4.812	0.192	0.000	0.96
734484.5834	CSM	fix	0.688	0.000	1.000	0.96
734484.5834	CSM	sacc	4.339	0.671	0.000	0.99
734484.5834	CSM	spem	4.692	0.769	0.000	0.97
734484.5834	CSM	vergst	6.630	0.045	0.028	0.96
734484.5834	CSM	vergtr	6.651	0.031	0.154	0.95
734484.5887	CSM	fix	1.025	0.000	1.000	0.91
734484.5887	CSM	sacc	4.291	0.646	0.000	0.93
734484.5887	CSM	spem	4.935	0.747	0.000	0.93
734484.5887	CSM	vergst	1.061	0.104	0.190	0.94
734484.5887	CSM	vergtr	1.093	0.087	0.003	0.94
734484.5945	CSM	fix	1.019	0.000	1.000	0.87
734484.5945	CSM	sacc	4.800	0.527	0.000	0.83
734484.5945	CSM	spem	5.959	0.611	0.000	0.92
734484.5945	CSM	vergst	6.047	0.056	0.212	0.93
734484.5945	CSM	vergtr	5.162	0.185	0.000	0.96
734484.6017	CSM	fix	0.834	0.000	1.000	0.93
734484.6017	CSM	sacc	4.965	0.518	0.000	0.86
734484.6017	CSM	spem	5.616	0.632	0.000	0.88
734484.6017	CSM	vergst	0.858	0.134	0.178	0.90
734484.6017	CSM	vergtr	0.955	0.125	0.029	0.89
734484.6083	CSM	fix	1.087	0.000	1.000	0.93
734484.6083	CSM	sacc	4.846	0.523	0.000	0.88
734484.6083	CSM	spem	5.864	0.595	0.000	0.90
734484.6083	CSM	vergst	5.513	0.062	0.224	0.93
734484.6083	CSM	vergtr	4.596	0.176	0.090	0.87
734560.3922	sol	fix	0.649	0.000	1.000	0.95
734560.3922	sol	sacc	3.698	0.753	0.000	1.00
734560.3922	sol	spem	3.107	0.899	0.000	0.99
734560.3922	sol	vergst	6.974	0.045	0.006	0.98
734560.3922	sol	vergtr	6.961	0.031	0.008	0.97
734560.3978	sol	fix	0.781	0.000	1.000	0.96
734560.3978	sol	sacc	3.731	0.734	0.000	1.00
734560.3978	sol	spem	3.156	0.898	0.000	0.96
734560.3978	sol	vergst	0.855	0.137	0.087	0.99
734560.3978	sol	vergtr	0.929	0.141	0.001	0.99
734560.4034	sol	fix	0.475	0.000	1.000	0.98
734560.4034	sol	sacc	3.715	0.751	0.000	1.00
734560.4034	sol	spem	3.032	0.893	0.000	0.94
734560.4034	sol	vergst	7.152	0.068	0.000	0.99
734560.4034	sol	vergtr	5.173	0.217	0.000	0.97
734560.4099	sol	fix	1.409	0.000	1.000	0.70
734560.4099	sol	sacc	4.372	0.609	0.000	0.78
734560.4099	sol	spem	3.920	0.724	0.000	0.61
734560.4099	sol	vergst	1.459	0.178	0.000	0.82
734560.4099	sol	vergtr	1.529	0.087	0.167	0.64
734560.4297	sol	fix	0.455	0.000	1.000	0.98
734560.4297	sol	sacc	3.936	0.729	0.000	1.00
734560.4297	sol	spem	3.359	0.892	0.000	0.99
734560.4297	sol	vergst	0.623	0.193	0.000	1.00
734560.4297	sol	vergtr	0.659	0.105	0.039	0.99
734560.4355	sol	fix	0.497	0.000	1.000	0.97
734560.4355	sol	sacc	3.934	0.728	0.000	1.00
734560.4355	sol	spem	3.398	0.890	0.000	0.99
734560.4355	sol	vergst	7.535	0.058	0.094	0.99
734560.4355	sol	vergtr	5.343	0.243	0.000	0.98
734560.4629	sol	fix	0.483	0.000	1.000	0.99
734560.4629	sol	sacc	4.189	0.719	0.000	1.00
734560.4629	sol	spem	3.363	0.899	0.000	1.00
734560.4629	sol	vergst	7.832	0.056	0.000	1.00
734560.4629	sol	vergtr	7.839	0.015	0.447	0.99
734560.4683	sol	fix	0.600	0.000	1.000	0.98
734560.4683	sol	sacc	4.159	0.713	0.000	1.00
734560.4683	sol	spem	3.346	0.898	0.000	1.00
734560.4683	sol	vergst	0.668	0.188	0.015	0.99
734560.4683	sol	vergtr	0.746	0.099	0.208	0.99
734560.4742	sol	fix	0.329	0.000	1.000	0.99
734560.4742	sol	sacc	3.994	0.738	0.000	1.00
734560.4742	sol	spem	3.550	0.882	0.000	1.00
734560.4742	sol	vergst	7.575	0.049	0.008	0.99
734560.4742	sol	vergtr	5.805	0.198	0.204	0.98
734560.4801	sol	fix	0.437	0.000	1.000	0.98
734560.4801	sol	sacc	3.972	0.726	0.000	0.99
734560.4801	sol	spem	3.591	0.876	0.000	1.00
734560.4801	sol	vergst	0.623	0.185	0.016	0.99
734560.4801	sol	vergtr	0.636	0.060	0.025	0.99
734560.489 	sol	fix	0.383	0.000	1.000	0.99
734560.489 	sol	sacc	3.992	0.734	0.000	1.00
734560.489 	sol	spem	3.336	0.896	0.000	1.00
734560.489 	sol	vergst	0.574	0.212	0.000	0.99
734560.489 	sol	vergtr	0.622	0.098	0.005	0.99
734560.4948	sol	fix	0.321	0.000	1.000	0.99
734560.4948	sol	sacc	3.939	0.747	0.000	1.00
734560.4948	sol	spem	3.206	0.904	0.000	1.00
734560.4948	sol	vergst	7.505	0.070	0.000	0.99
734560.4948	sol	vergtr	5.615	0.156	0.004	0.98
734560.5155	CSM	fix	0.690	0.000	1.000	0.90
734560.5155	CSM	sacc	4.492	0.655	0.000	0.96
734560.5155	CSM	spem	4.762	0.863	0.000	0.96
734560.5155	CSM	vergst	9.498	0.043	0.133	0.96
734560.5155	CSM	vergtr	9.496	0.037	0.087	0.94
734560.5236	CSM	fix	0.924	0.000	1.000	0.89
734560.5236	CSM	sacc	4.480	0.694	0.000	0.99
734560.5236	CSM	spem	5.144	0.849	0.000	0.95
734560.5236	CSM	vergst	0.965	0.062	0.141	0.93
734560.5236	CSM	vergtr	1.010	0.041	0.131	0.97
734560.5308	CSM	fix	1.084	0.000	1.000	0.61
734560.5308	CSM	sacc	4.473	0.608	0.000	0.63
734560.5308	CSM	spem	4.404	0.858	0.000	0.87
734560.5308	CSM	vergst	9.183	0.065	0.001	0.81
734560.5308	CSM	vergtr	6.611	0.135	0.000	0.63
734560.5397	CSM	fix	0.992	0.000	1.000	0.73
734560.5397	CSM	sacc	4.622	0.671	0.000	0.96
734560.5397	CSM	spem	4.417	0.862	0.000	0.91
734560.5397	CSM	vergst	1.060	0.111	0.000	0.94
734560.5397	CSM	vergtr	1.057	0.195	0.000	0.87
734560.547 	CSM	fix	1.233	0.000	1.000	0.80
734560.547 	CSM	sacc	4.456	0.673	0.000	0.95
734560.547 	CSM	spem	4.631	0.834	0.000	0.86
734560.547 	CSM	vergst	9.089	0.031	0.085	0.95
734560.547 	CSM	vergtr	5.682	0.220	0.000	0.74
734560.5648	CSM	fix	0.504	0.000	1.000	0.99
734560.5648	CSM	sacc	4.149	0.684	0.000	1.00
734560.5648	CSM	spem	3.351	0.887	0.000	1.00
734560.5648	CSM	vergst	6.726	0.049	0.115	0.99
